DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
02/18/2026,AAVE,125.705060742,295993771,15191888
02/18/2026,ADA,0.2800574267,333308302,36800973395
02/18/2026,BNB,615.779967991,798802599,136359189
02/18/2026,BTC,67298.277733125,37648533218,19991081
02/18/2026,ETH,1981.395058313,20554190969,120692424
02/18/2026,NEAR,1.0408695,133459938,1288051119
02/18/2026,SOL,84.860535845,3129779624,568239934
02/18/2026,XRP,1.469471221,2284641499,60917315351
02/18/2026,ZEC,298.621878188,390473115,16511427
02/17/2026,AAVE,126.980255178,414133932,15191736
02/17/2026,ADA,0.2851506693,356190300,36800973395
02/17/2026,BNB,626.905164547,799497337,136359220
02/17/2026,BTC,68891.014081243,36355146073,19990578
02/17/2026,ETH,1999.508533638,18581653356,120692440
02/17/2026,NEAR,1.053389653,156724704,1287973425
02/17/2026,SOL,86.704085834,3743202970,568078740
02/17/2026,XRP,1.485329711,2953858101,60917315351
02/17/2026,ZEC,293.589729416,381472065,16511427
02/16/2026,AAVE,125.710500347,408642141,15191416
02/16/2026,ADA,0.2819531826,543988484,36800973395
02/16/2026,BNB,616.01086735,993259041,136359274
02/16/2026,BTC,68779.508497887,43877185987,19990034
02/16/2026,ETH,1967.9075364,31032822728,120692449
02/16/2026,NEAR,1.054612584,158342075,1287869145
02/16/2026,SOL,86.111533781,4386151366,568079708
02/16/2026,XRP,1.477402792,5395791852,60917315351
02/16/2026,ZEC,298.024293295,520036391,16511427
02/15/2026,AAVE,128.136295965,328930596,15191255
02/15/2026,ADA,0.2968127672,528836373,36800973395
02/15/2026,BNB,631.801834363,802701470,136359315
02/15/2026,BTC,69755.233139898,38853900171,19989409
02/15/2026,ETH,2079.812201608,16422713875,120692468
02/15/2026,NEAR,1.077663468,148467551,1287791729
02/15/2026,SOL,88.114099426,3117499941,567958007
02/15/2026,XRP,1.522156834,2633139573,60917315351
02/15/2026,ZEC,323.022761131,669408180,16511427
02/14/2026,AAVE,119.899092517,331553082,15191155
02/14/2026,ADA,0.2742045891,395359132,36800973395
02/14/2026,BNB,622.940678259,1283479104,136359354
02/14/2026,BTC,69018.284425833,42903405950,19988909
02/14/2026,ETH,2051.970135209,20500797836,120692468
02/14/2026,NEAR,1.023804503,136336748,1287713843
02/14/2026,SOL,84.901991956,3867120636,567958922
02/14/2026,XRP,1.413505298,2431545424,60917315351
02/14/2026,ZEC,276.935779496,492816426,16511427
02/13/2026,AAVE,112.751437249,435933572,15190466
02/13/2026,ADA,0.2620866866,418266582,36794311012
02/13/2026,BNB,610.577560133,965913634,136359409
02/13/2026,BTC,65910.893941798,47360671009,19988381
02/13/2026,ETH,1933.13074835,19379995344,120692542
02/13/2026,NEAR,0.9593745585,151708820,1287635733
02/13/2026,SOL,77.94940493,3940893773,567837326
02/13/2026,XRP,1.352745595,2480129139,60917315351
02/13/2026,ZEC,232.655088559,339518985,16511427
02/12/2026,AAVE,108.500133291,405978662,15190359
02/12/2026,ADA,0.2576943802,408745609,36794311012
02/12/2026,BNB,611.448997632,1563501954,136359451
02/12/2026,BTC,67472.385903179,55040317627,19987881
02/12/2026,ETH,1961.66699465,24262688323,120692570
02/12/2026,NEAR,0.9677342637,172669691,1287530914
02/12/2026,SOL,80.015096617,3958839127,567838372
02/12/2026,XRP,1.377872428,3378096123,60917315351
02/12/2026,ZEC,242.202520806,417742651,16511427
02/11/2026,AAVE,109.785717483,231127435,15190300
02/11/2026,ADA,0.2626949206,359717596,36794311012
02/11/2026,BNB,622.31160877,1165008236,136359508
02/11/2026,BTC,69210.407397494,44152617153,19987381
02/11/2026,ETH,2027.135204988,23985484550,120692589
02/11/2026,NEAR,0.9961990878,133280475,1287454079
02/11/2026,SOL,83.476265804,3560449790,567716822
02/11/2026,XRP,1.410235181,2309575468,60917315351
02/11/2026,ZEC,235.078843753,298903138,16511427
02/10/2026,AAVE,112.175116339,349844410,15190254
02/10/2026,ADA,0.2690624047,583853770,36794311012
02/10/2026,BNB,637.278801293,1249681032,136359558
02/10/2026,BTC,69928.941821239,55356394425,19986931
02/10/2026,ETH,2100.959753686,24680179721,120692614
02/10/2026,NEAR,1.028343856,108342319,1287377283
02/10/2026,SOL,86.487788051,4405153541,567524562
02/10/2026,XRP,1.438683783,3504987418,60917315351
02/10/2026,ZEC,238.089601408,325953165,16511427
02/09/2026,AAVE,112.355400239,299790457,15189983
02/09/2026,ADA,0.2699330203,735254735,36794311012
02/09/2026,BNB,639.618652925,1023311647,136359603
02/09/2026,BTC,70492.947910884,43383987889,19986421
02/09/2026,ETH,2083.640886118,20063022266,120692627
02/09/2026,NEAR,1.039010423,84052951,1287273972
02/09/2026,SOL,86.924858934,3261108037,567402763
02/09/2026,XRP,1.431329588,2588162061,60917315351
02/09/2026,ZEC,240.564914468,337949592,16511427
02/08/2026,AAVE,113.553488953,385171744,15189922
02/08/2026,ADA,0.2722291802,1200139744,36794311012
02/08/2026,BNB,648.73888787,1505556588,136359636
02/08/2026,BTC,69216.678999155,67176565532,19985893
02/08/2026,ETH,2086.520404701,39080077369,120692655
02/08/2026,NEAR,1.073327143,167565840,1287197123
02/08/2026,SOL,87.406385714,5285599300,567404285
02/08/2026,XRP,1.426945319,5348475632,60917315351
02/08/2026,ZEC,241.51339991,434641175,16511427
02/07/2026,AAVE,112.935304506,691301141,15189633
02/07/2026,ADA,0.2733059314,1425502006,36787594678
02/07/2026,BNB,652.554408922,2973632441,136359677
02/07/2026,BTC,69909.640727932,113183085083,19985371
02/07/2026,ETH,2042.53312744,56914268030,120692919
02/07/2026,NEAR,1.079309347,248780146,1287120122
02/07/2026,SOL,86.653954241,10797288172,567282515
02/07/2026,XRP,1.45963287,11948335603,60917315351
02/07/2026,ZEC,237.307191817,716528652,16511427
02/06/2026,AAVE,100.81839022,1028609359,15189592
02/06/2026,ADA,0.2443000486,1662172176,36787594678
02/06/2026,BNB,616.036534864,4839773178,136359729
02/06/2026,BTC,63659.607469887,156815640640,19984921
02/06/2026,ETH,1876.064926527,70267911390,120693508
02/06/2026,NEAR,0.9520048717,459829652,1287016361
02/06/2026,SOL,75.856669067,13296330309,566666008
02/06/2026,XRP,1.221288395,13462845366,60917315351
02/06/2026,ZEC,203.604022432,786737504,16511427
02/05/2026,AAVE,123.913710845,516374720,15189392
02/05/2026,ADA,0.2864255892,752359352,36787594678
02/05/2026,BNB,694.924032707,2646892317,136359804
02/05/2026,BTC,72704.596990326,73911996476,19984512
02/05/2026,ETH,2145.724776743,45002681732,120693508
02/05/2026,NEAR,1.155878158,176832902,1286939300
02/05/2026,SOL,91.637919398,7563882890,566544268
02/05/2026,XRP,1.492278134,4527775235,60917315351
02/05/2026,ZEC,251.940526562,459557339,16511427
02/04/2026,AAVE,125.781776231,458484436,15187919
02/04/2026,ADA,0.2946761461,738577610,36787594678
02/04/2026,BNB,754.582169056,1996104991,136359866
02/04/2026,BTC,75937.903921452,76240752181,19982656
02/04/2026,ETH,2245.499647558,50416152730,120693577
02/04/2026,NEAR,1.185232467,197669411,1286861440
02/04/2026,SOL,98.230568201,6308503483,566551556
02/04/2026,XRP,1.577868682,4107301078,60853233336
02/04/2026,ZEC,276.262121783,473581073,16511427
02/03/2026,AAVE,127.815379669,472118371,15187656
02/03/2026,ADA,0.2996262671,819497382,36787594678
02/03/2026,BNB,773.491043576,2223783461,136359930
02/03/2026,BTC,79014.421739228,83073579310,19982656
02/03/2026,ETH,2353.067843146,48769882385,120693748
02/03/2026,NEAR,1.201585896,208538504,1286756288
02/03/2026,SOL,103.909472635,7445784246,566429574
02/03/2026,XRP,1.61491885,4733073141,60853233336
02/03/2026,ZEC,293.137911608,459086610,16511427
02/02/2026,AAVE,126.076208762,400747445,15187303
02/02/2026,ADA,0.2892895435,695782644,36780903711
02/02/2026,BNB,763.724859252,1965272628,136360002
02/02/2026,BTC,77622.423199087,58582866106,19982656
02/02/2026,ETH,2293.597718374,41740020072,120693815
02/02/2026,NEAR,1.193140657,183370670,1286677368
02/02/2026,SOL,102.175465191,6162775958,566430996
02/02/2026,XRP,1.60401516,3996246476,60853233336
02/02/2026,ZEC,314.212866726,472849206,16511427
02/01/2026,AAVE,129.72248324,525220908,15187212
02/01/2026,ADA,0.2952983483,1386753216,36780903711
02/01/2026,BNB,784.313392616,2695474472,136360056
02/01/2026,BTC,78750.147576923,80086167240,19982656
02/01/2026,ETH,2446.75906692,50700360850,120693815
02/01/2026,NEAR,1.208433996,269178758,1286599156
02/01/2026,SOL,105.53808238,10310143828,566308908
02/01/2026,XRP,1.662285326,6315379910,60853233336
